conjunto;grupo;SS;trafo;ocorrencia;na_janela;dist_h;elemento_com_problema;classificacao;porque
SIM;Fora da janela;DOLP-RD-PA 00471/2026;5710105001;20264307290830;SIM;0;4000057083;INCONCLUSIVO;"prefixo igual ('SS DOLP RD PA 471/2026') mas texto é abertura de chave 4000057083 para trocar poste, localidade 083 ≠ 001 (Porto Nacional); trafo não citado, nenhum defeito"
NÃO;Ausentes;ETO-RD-DP 00093/2026;5764816091;20264084940539;NÃO;422;5700490091;OUTRO EQUIPAMENTO DE MESMO FINAL;"'Desarme do RL 7964816091 ... trafo 5700490091 queimado' — 8 finais são do religador; trafo queimado é outro"
NÃO;Ausentes;ETO-RD-DP 00093/2026;5764816091;20264180567823;NÃO;967;7964816091;OUTRO EQUIPAMENTO DE MESMO FINAL;"'desarme do religador 7964816091'"
NÃO;Ausentes;ETO-RD-DP 00093/2026;5764816091;20264084966659;NÃO;431;7952046029;OUTRO EQUIPAMENTO DE MESMO FINAL;"'Desarme do RL 7964816091. Alarme 50/51'"
NÃO;Ausentes;ETO-RD-AG 00023/2026;5700247131;20264064909114;NÃO;45;5710557001;COINCIDÊNCIA NUMÉRICA;"'NOTA: DG-RD-PO 23/2026' — outra unidade, outro trafo"
NÃO;Ausentes;ETO-RD-AG 00437/2026;5700145002;20264265816569;NÃO;326;0321177013;COINCIDÊNCIA NUMÉRICA;"'SS: ENC-RD-PS437/2026'"
NÃO;Ausentes;ETO-RD-GR 00598/2026;5730596155;20264524614411;NÃO;291;5700636045;COINCIDÊNCIA NUMÉRICA;"'conforme SS - ETO-RD_AG 598/2026' — AG ≠ GR, poste abalroado"
NÃO;Ausentes;ETO-RD-GR 00174/2026;5747088104;20264122267893;NÃO;164;3300179044;COINCIDÊNCIA NUMÉRICA;"'NOTA DG-RD-PO 174/2026' — outra unidade, poste de madeira"
NÃO;Ausentes;ETO-RD-AG 00489/2026;5701350103;20264378079290;NÃO;27;0301347103;TRAFO COM DEFEITO DECLARADO;"'Abertura emergencial da chave 0301347103 para possibilitar substituição do trafo 5701350103 com bucha primaria quebrada ... ETO-RD-AG489/2026' — troca registrada na chave, 27 h após a SS"
NÃO;Fora da janela;DOLP-RD-PA 00521/2026;5703327122;20264354214073;NÃO;3,5;5703327122;TRAFO COM DEFEITO DECLARADO;"'substituir TR de 45kva por 75kva, vazamento de oleo e problemas na bucha' — registrada no próprio trafo, 3,5 h após a SS"
NÃO;Fora da janela;ETO-RD-AG 00399/2026;5710075081;20264289007437;NÃO;1,7;5710075081;TRAFO COM DEFEITO DECLARADO;"'Trafo 5710075081 de 15KVA queimado' — no próprio trafo, 1,7 h após a SS"
NÃO;Fora da janela;ENC-RD-PS 00364/2026;5700001180;20264188332862;NÃO;18,5;5700001180;TRAFO COM DEFEITO DECLARADO;"'ABERTURA EMERGENCIAL DO TR 5700001180 PARA MANUTENÇÃO NA BUCHA' — no próprio trafo, 18,5 h após"
NÃO;Fora da janela;DOLP-RD-PA 00458/2026;5700873122;20264288661473;NÃO;2,4;5700873122;TRAFO COM DEFEITO DECLARADO;"'Transformador com vazamento de oleo grande proporção nota dolp rd pa 458/2026' — prefixo igual, próprio trafo, 2,4 h após"
NÃO;Fora da janela;DOLP-RD-PA 00247/2026;5700707122;20264125778837;NÃO;20;5700707122;TRAFO COM DEFEITO DECLARADO;"'ss247/2026 ... trocar o trafo que esta com vazamento de oleo' — próprio trafo, 20 h após"
NÃO;Fora da janela;ETO-RD-GR 00039/2026;5700761155;20264082867570;NÃO;211;5700761155;TRAFO COM DEFEITO DECLARADO;"'TROCAR TRAFO COM VAZAMENTO DE ÓLEO ... SS: ETO-RD-GR 39/2026' — próprio trafo, 9 dias após"
NÃO;Fora da janela;ETO-RD-AR 00951/2026;5700623004;20264378919223;NÃO;701;5700623004;TRAFO CITADO SEM DEFEITO;"'nao foi encontrado nehuma anormalia' — 29 dias antes da SS"
NÃO;Fora da janela;ETO-RD-GR 00373/2026;5700725023;20264172255631;NÃO;301;5700725023;TRAFO CITADO SEM DEFEITO;"'ABRIR TRAFO 5700725023 E 5700043023 PARA ISOLAR TRECHO' — manobra programada"
NÃO;Fora da janela;ETO-RD-GU 00061/2026;5744049021;20264194126807;NÃO;1651;8800173250;COINCIDÊNCIA NUMÉRICA;"'eto-rd-po 60,61/2026' — outra unidade, linha viva"
NÃO;Fora da janela;ENC-RD-PS 00487/2026;5700002253;20264111747262;NÃO;2085;096004;COINCIDÊNCIA NUMÉRICA;"'EM CONJUNTO COM A SID 487/2026' — manobra de transmissão"
NÃO;Fora da janela;ETO-RD-GU 00426/2026;5701795052;20264247351674;NÃO;83;5700026008;COINCIDÊNCIA NUMÉRICA;"'ENC-RD-PS 426/2026' — outra unidade, postes de madeira"
NÃO;Fora da janela;ETO-RD-GR 00324/2026;5700006034;20264149939848;NÃO;240;0300006034;OUTRO EQUIPAMENTO DE MESMO FINAL;"'CODIGO INVALIDO:TR/0300006034' — chave 03 com os mesmos 8 finais; operador digitou 'TR' com código de chave; 10 dias antes"
NÃO;Fora da janela;ENC-RD-PS 00103/2026;5301988007;20264127904043;NÃO;598;5301988007;INCONCLUSIVO;"'CODIGO INVALIDO:TR/5701988007' — mesmo ponto (57 vs 53), causa DESCARGA ATMOSFÉRICA, sem defeito explícito, 25 dias após"
NÃO;Fora da janela;ETO-RD-GU 00005/2026;5753512094;20264060885118;NÃO;5,6;5735770026;COINCIDÊNCIA NUMÉRICA;"'TR 5735770026 queimado ... DG-RD-PO5/2026' — outra unidade, outro trafo"
NÃO;Fora da janela;DG-RD-PO 00407/2026;5700892043;20264312624906;NÃO;1149;5747476122;COINCIDÊNCIA NUMÉRICA;"'eto-rd-pa 407/2026 conexão de malha de aterramento'"
NÃO;Fora da janela;ENC-RD-PS 00376/2026;5700368012;20264130941403;NÃO;578;5701881003;COINCIDÊNCIA NUMÉRICA;"'OS ETO-RD-GU 376/2026' — outra unidade"
